                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.84577,                0.40526,                0.83554,                0.82155,                 0.8362,                0.85192,                0.59916,                0.87425,                0.39582,                0.86574,               0.006793,               0.006793,               0.006793
                    117,                0.84939,                0.40517,                0.83552,                0.82189,                  0.836,                0.85195,                0.59918,                0.87432,                0.39563,                0.86571,              0.0067742,              0.0067742,              0.0067742
                    118,                0.84386,                0.40594,                0.83597,                0.82319,                 0.8345,                0.85148,                0.59886,                0.87428,                0.39553,                0.86568,              0.0067463,              0.0067463,              0.0067463
                    119,                0.84331,                0.40483,                0.83594,                0.82233,                0.83417,                0.85159,                0.59928,                0.87404,                0.39544,                 0.8657,              0.0067185,              0.0067185,              0.0067185
                    120,                0.85006,                0.40737,                0.83583,                0.82119,                0.83438,                0.85158,                0.59897,                0.87406,                 0.3954,                0.86562,              0.0066907,              0.0066907,              0.0066907
                    121,                0.83942,                 0.4047,                0.83528,                0.82136,                  0.835,                0.85175,                0.59938,                0.87375,                0.39536,                0.86558,              0.0066629,              0.0066629,              0.0066629
                    122,                0.84282,                0.40383,                 0.8364,                0.82135,                0.83536,                0.85176,                0.59934,                0.87375,                0.39532,                0.86553,              0.0066351,              0.0066351,              0.0066351
                    123,                0.84435,                0.40287,                0.83634,                0.82081,                0.83536,                0.85181,                0.59942,                0.87369,                0.39523,                0.86553,              0.0066073,              0.0066073,              0.0066073
                    124,                0.84377,                0.40407,                0.83544,                0.82102,                 0.8359,                0.85193,                0.59945,                0.87377,                0.39515,                0.86553,              0.0065795,              0.0065795,              0.0065795
                    125,                 0.8434,                0.40406,                 0.8363,                0.82082,                0.83591,                0.85216,                0.59963,                0.87351,                 0.3952,                0.86556,              0.0065517,              0.0065517,              0.0065517
                    126,                0.84248,                0.40323,                0.83463,                0.82074,                0.83601,                0.85206,                0.59976,                0.87346,                0.39494,                0.86554,              0.0065239,              0.0065239,              0.0065239
                    127,                0.84196,                0.40437,                0.83534,                0.82203,                0.83625,                0.85236,                0.59977,                0.87344,                 0.3951,                0.86544,              0.0064961,              0.0064961,              0.0064961
                    128,                0.83924,                0.40193,                0.83339,                0.82131,                0.83601,                0.85264,                0.59991,                0.87352,                 0.3947,                0.86539,              0.0064683,              0.0064683,              0.0064683
                    129,                0.84164,                 0.4004,                0.83534,                0.82195,                0.83534,                 0.8526,                0.60012,                0.87359,                0.39476,                0.86539,              0.0064404,              0.0064404,              0.0064404
                    130,                0.83864,                0.40081,                0.83494,                0.82264,                0.83458,                0.85289,                 0.6003,                0.87357,                0.39497,                0.86541,              0.0064126,              0.0064126,              0.0064126
                    131,                0.84387,                0.40367,                0.83525,                0.82357,                0.83555,                0.85244,                0.60018,                0.87358,                0.39495,                 0.8654,              0.0063848,              0.0063848,              0.0063848
                    132,                0.83843,                0.39994,                0.83491,                0.82316,                0.83466,                0.85232,                 0.6002,                0.87346,                0.39526,                0.86539,               0.006357,               0.006357,               0.006357
                    133,                  0.837,                 0.3995,                0.83371,                0.82256,                0.83464,                0.85223,                0.60023,                0.87356,                 0.3954,                0.86536,              0.0063292,              0.0063292,              0.0063292
                    134,                0.84005,                0.40202,                0.83559,                0.82244,                0.83599,                0.85251,                0.60063,                0.87329,                0.39551,                0.86536,              0.0063014,              0.0063014,              0.0063014
                    135,                0.83676,                 0.3997,                0.83323,                0.82269,                0.83656,                0.85276,                  0.601,                0.87327,                0.39543,                 0.8653,              0.0062736,              0.0062736,              0.0062736
                    136,                0.83444,                0.39901,                0.83372,                0.82248,                0.83545,                 0.8525,                 0.6009,                0.87326,                0.39574,                0.86529,              0.0062458,              0.0062458,              0.0062458
                    137,                 0.8371,                0.40196,                0.83221,                0.82325,                0.83667,                0.85236,                0.60102,                0.87306,                0.39566,                0.86521,               0.006218,               0.006218,               0.006218
                    138,                0.83567,                0.39846,                0.83366,                 0.8239,                0.83635,                0.85244,                0.60082,                0.87302,                0.39557,                0.86517,              0.0061902,              0.0061902,              0.0061902
                    139,                0.83253,                0.39684,                0.83294,                0.82351,                0.83603,                0.85251,                  0.601,                0.87307,                0.39545,                0.86513,              0.0061624,              0.0061624,              0.0061624
                    140,                0.83004,                0.39632,                0.83283,                0.82387,                0.83683,                0.85278,                0.60069,                0.87289,                0.39564,                0.86505,              0.0061346,              0.0061346,              0.0061346
                    141,                 0.8289,                0.39782,                0.83321,                0.82223,                0.83875,                0.85283,                0.60093,                0.87286,                0.39555,                0.86503,              0.0061067,              0.0061067,              0.0061067
                    142,                0.83064,                0.39738,                0.83265,                0.82382,                0.83756,                0.85284,                0.60067,                0.87283,                0.39569,                0.86499,              0.0060789,              0.0060789,              0.0060789
                    143,                0.83209,                 0.3978,                0.83434,                0.82269,                0.83793,                0.85314,                0.60117,                0.87253,                 0.3957,                0.86494,              0.0060511,              0.0060511,              0.0060511
                    144,                0.83322,                0.39782,                0.83316,                0.82331,                0.83775,                  0.853,                 0.6013,                0.87247,                0.39583,                0.86494,              0.0060233,              0.0060233,              0.0060233
                    145,                0.83099,                  0.398,                0.83421,                0.82173,                0.83856,                0.85321,                0.60127,                0.87232,                0.39602,                0.86488,              0.0059955,              0.0059955,              0.0059955
                    146,                0.83108,                0.39731,                0.83281,                0.82185,                0.83822,                0.85326,                0.60117,                0.87249,                0.39601,                 0.8648,              0.0059677,              0.0059677,              0.0059677
                    147,                0.83103,                0.39721,                0.83341,                0.82113,                0.83849,                0.85322,                0.60113,                0.87241,                0.39579,                0.86478,              0.0059399,              0.0059399,              0.0059399
                    148,                0.82902,                 0.3965,                0.83142,                0.82201,                0.83752,                0.85303,                0.60119,                0.87236,                 0.3954,                0.86473,              0.0059121,              0.0059121,              0.0059121
                    149,                0.82726,                0.39411,                0.83243,                0.82135,                0.83809,                  0.853,                0.60134,                0.87227,                 0.3953,                0.86468,              0.0058843,              0.0058843,              0.0058843
                    150,                0.82794,                0.39407,                0.83263,                 0.8221,                0.83648,                  0.853,                0.60175,                0.87209,                 0.3954,                0.86469,              0.0058565,              0.0058565,              0.0058565
                    151,                0.82989,                0.39558,                0.83238,                0.82246,                0.83594,                0.85325,                0.60167,                0.87217,                 0.3955,                0.86468,              0.0058287,              0.0058287,              0.0058287
                    152,                0.82621,                0.39542,                0.83271,                0.82179,                0.83673,                0.85316,                0.60193,                0.87184,                 0.3954,                0.86466,              0.0058008,              0.0058008,              0.0058008
                    153,                0.82702,                0.39516,                0.83246,                0.82084,                0.83768,                0.85331,                0.60188,                0.87172,                0.39515,                0.86463,               0.005773,               0.005773,               0.005773
                    154,                0.82602,                0.39352,                0.83141,                 0.8221,                0.83792,                0.85323,                0.60222,                0.87162,                0.39505,                 0.8646,              0.0057452,              0.0057452,              0.0057452
                    155,                0.82668,                 0.3957,                0.83199,                0.82105,                0.83831,                0.85335,                0.60194,                0.87147,                0.39502,                0.86451,              0.0057174,              0.0057174,              0.0057174
                    156,                0.82733,                0.39487,                0.83168,                0.82103,                0.83843,                0.85372,                0.60216,                0.87137,                0.39539,                0.86447,              0.0057017,              0.0057017,              0.0057017
                    157,                0.82804,                0.39414,                0.83271,                0.82204,                0.83787,                0.85358,                0.60271,                0.87133,                0.39523,                 0.8644,              0.0056618,              0.0056618,              0.0056618
                    158,                0.82596,                0.39404,                0.83274,                0.82254,                0.83781,                0.85411,                0.60266,                0.87132,                0.39511,                0.86441,               0.005634,               0.005634,               0.005634
