                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.90326,                0.44455,                0.87674,                0.80714,                0.80499,                0.82958,                0.57948,                0.88865,                0.42328,                0.86225,             0.00055006,             0.00055006,             0.00055006
                     54,                0.91711,                0.44671,                0.87635,                0.81347,                0.81515,                0.83837,                0.58636,                0.88567,                0.42136,                0.85987,             0.00053906,             0.00053906,             0.00053906
                     55,                0.91714,                0.44869,                0.87645,                0.82774,                0.80287,                0.84285,                0.58742,                0.88809,                0.42166,                0.86171,             0.00052806,             0.00052806,             0.00052806
                     56,                0.90957,                0.44338,                0.87624,                 0.8136,                0.80268,                0.83524,                0.58323,                0.88692,                0.42297,                0.86165,             0.00051706,             0.00051706,             0.00051706
                     57,                0.91387,                0.44581,                0.87651,                 0.8049,                0.81785,                 0.8399,                0.58523,                0.88846,                0.42669,                0.86116,             0.00050606,             0.00050606,             0.00050606
                     58,                0.90481,                0.44016,                0.87348,                0.80215,                0.82368,                0.83468,                0.58194,                0.89053,                0.42136,                0.86098,             0.00049506,             0.00049506,             0.00049506
                     59,                0.90782,                0.44269,                0.87484,                0.82803,                 0.8031,                0.84303,                 0.5902,                0.88533,                0.41935,                0.86049,             0.00048406,             0.00048406,             0.00048406
                     60,                0.90035,                0.43927,                0.87484,                0.81776,                0.81458,                0.84447,                0.59014,                0.88595,                0.42003,                0.86086,             0.00047306,             0.00047306,             0.00047306
                     61,                0.90179,                0.43818,                0.87391,                0.82323,                0.82061,                 0.8447,                0.58884,                0.88587,                0.42111,                0.86117,             0.00046206,             0.00046206,             0.00046206
                     62,                0.89582,                0.43732,                0.87251,                 0.8168,                0.82278,                0.84353,                0.58997,                0.88617,                0.41697,                0.85972,             0.00045107,             0.00045107,             0.00045107
