                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.85044,                0.40379,                0.83991,                 1.1933,                0.47566,                 0.8202,                0.79686,                0.81092,                0.82746,                0.56956,                0.88111,                0.40381,                0.86762,                 1.1357,                0.47658,                0.86512,               0.003466,               0.003466,               0.003466
                     69,                0.84318,                0.40088,                0.83728,                 1.1843,                0.47309,                 0.8182,                0.79857,                0.81084,                0.82725,                0.56949,                0.88014,                0.40329,                0.86696,                 1.1353,                 0.4747,                0.86446,               0.003367,               0.003367,               0.003367
                     70,                0.84108,                0.40108,                0.83832,                 1.1807,                0.47232,                0.81853,                0.80102,                 0.8086,                0.82895,                0.57098,                0.87891,                0.40297,                0.86643,                 1.1339,                0.47465,                0.86389,               0.003268,               0.003268,               0.003268
                     71,                0.84523,                0.40233,                0.83723,                 1.1852,                0.47202,                0.81782,                0.78905,                0.81748,                0.82836,                0.57018,                0.87854,                 0.4019,                0.86621,                 1.1324,                0.47328,                0.86369,               0.003169,               0.003169,               0.003169
                     72,                0.84422,                0.40046,                0.83779,                 1.1846,                0.47226,                0.81806,                0.80996,                0.80058,                0.83073,                0.57206,                0.87823,                0.40098,                0.86612,                 1.1322,                0.47191,                0.86352,                0.00307,                0.00307,                0.00307
                     73,                0.83922,                0.39808,                0.83827,                 1.1791,                0.46887,                0.81785,                 0.8082,                0.79741,                0.83233,                0.57417,                0.87769,                0.40056,                0.86615,                  1.132,                 0.4709,                0.86359,               0.002971,               0.002971,               0.002971
                     74,                0.83801,                0.39786,                0.83737,                 1.1748,                0.46834,                0.81774,                0.80675,                0.80311,                0.83263,                0.57425,                0.87771,                0.40102,                0.86626,                 1.1322,                0.47018,                 0.8637,               0.002872,               0.002872,               0.002872
                     75,                0.83421,                0.39588,                0.83709,                 1.1707,                0.46393,                0.81776,                 0.8092,                0.79827,                0.83307,                0.57439,                0.87766,                 0.4004,                 0.8664,                  1.132,                0.47015,                 0.8634,               0.002773,               0.002773,               0.002773
                     76,                0.83426,                0.39394,                0.83614,                  1.173,                0.46513,                0.81736,                0.81142,                  0.798,                0.83328,                0.57442,                0.87714,                0.39975,                0.86624,                 1.1316,                0.46939,                0.86341,               0.002674,               0.002674,               0.002674
                     77,                0.83101,                0.39258,                0.83618,                 1.1702,                0.46174,                0.81676,                0.80752,                0.80041,                  0.833,                0.57397,                0.87684,                0.39914,                0.86609,                 1.1308,                0.46976,                0.86311,               0.002575,               0.002575,               0.002575
                     78,                0.82773,                0.39297,                0.83535,                 1.1647,                0.46376,                0.81671,                0.80906,                0.79883,                0.83336,                0.57419,                0.87649,                0.39884,                0.86586,                 1.1305,                 0.4691,                0.86293,               0.002476,               0.002476,               0.002476
                     79,                0.82561,                0.38935,                 0.8345,                 1.1632,                0.46071,                0.81587,                0.80713,                0.80074,                0.83313,                0.57404,                0.87635,                0.39848,                0.86553,                   1.13,                0.46969,                0.86273,               0.002377,               0.002377,               0.002377
                     80,                0.82251,                0.38747,                0.83424,                 1.1584,                0.45928,                0.81524,                0.80635,                0.80071,                 0.8331,                 0.5736,                0.87623,                0.39819,                0.86539,                 1.1301,                0.46917,                0.86261,               0.002278,               0.002278,               0.002278
                     81,                0.82544,                0.38938,                0.83521,                 1.1659,                0.46159,                0.81604,                 0.8156,                0.79531,                0.83319,                 0.5736,                 0.8762,                 0.3977,                 0.8654,                 1.1298,                0.46945,                0.86249,               0.002179,               0.002179,               0.002179
                     82,                0.82725,                0.39037,                0.83502,                 1.1681,                0.46386,                0.81543,                0.81222,                0.79672,                0.83302,                0.57345,                0.87592,                0.39716,                0.86538,                 1.1299,                0.46861,                0.86246,                0.00208,                0.00208,                0.00208
                     83,                 0.8202,                0.38665,                0.83339,                 1.1581,                0.45792,                0.81494,                0.80474,                0.80256,                0.83351,                0.57391,                0.87574,                0.39685,                0.86533,                 1.1293,                0.46921,                0.86212,               0.001981,               0.001981,               0.001981
                     84,                0.81876,                0.38494,                0.83483,                 1.1546,                0.45563,                0.81561,                0.80696,                0.80318,                0.83344,                0.57411,                0.87565,                0.39659,                 0.8653,                 1.1292,                0.46908,                0.86214,               0.001882,               0.001882,               0.001882
                     85,                0.81622,                0.38331,                0.83397,                 1.1519,                0.45109,                0.81497,                0.81058,                0.80092,                0.83337,                0.57389,                0.87544,                0.39637,                0.86514,                 1.1288,                 0.4689,                0.86187,               0.001783,               0.001783,               0.001783
